"obs_site","ant","tag_id","run","rtype_name","filename","rel_site","rel_rkm","subbasin","subbasin_name","rel_date","etype","date","length","count","transported","year","mindate","maxdate"
"HST","Upstream Array","3DD.007786F250","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-18,"Observation",2015-12-18 15:55:00,NA,1,FALSE,NA,NA,NA
"TWX","MATRIX TRAWL [CURRENT]","3DD.007786F250","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-18,"Observation",2016-04-27 10:36:29,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F251","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-18,"Mark",2015-12-18 10:00:00,115,1,FALSE,NA,NA,NA
"HST","Downstream Array","3DD.007786F251","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-18,"Observation",2015-12-18 15:24:06,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F306","Summer","Wild Fish or Natural Production","JDB15355.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-21,"Mark",2015-12-21 11:00:00,118,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F31D","Summer","Wild Fish or Natural Production","JDB-2016-334-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-02,"Mark",2016-11-29 08:30:00,114,1,FALSE,NA,NA,NA
"HST","Downstream Array","3DD.007786F31D","Summer","Wild Fish or Natural Production","JDB-2016-334-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-02,"Observation",2016-12-02 09:13:18,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F336","Summer","Wild Fish or Natural Production","JDB16014.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-02-04,"Mark",2016-01-14 09:00:00,115,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F34B","Summer","Wild Fish or Natural Production","JDB15358.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-29,"Mark",2015-12-24 10:00:00,107,1,FALSE,NA,NA,NA
"HST","Upstream Array","3DD.007786F34B","Summer","Wild Fish or Natural Production","JDB15358.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-29,"Observation",2015-12-29 09:43:07,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F34F","Summer","Wild Fish or Natural Production","JDB16117.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-04-26,"Mark",2016-04-26 10:00:00,192,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F355","Summer","Wild Fish or Natural Production","JDB15365.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-01-07,"Mark",2015-12-31 09:00:00,99,1,FALSE,NA,NA,NA
"HST","Upstream Array","3DD.007786F355","Summer","Wild Fish or Natural Production","JDB15365.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-01-07,"Observation",2016-01-07 12:57:59,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F367","Summer","Wild Fish or Natural Production","JDB-2016-349-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-14,"Mark",2016-12-14 13:00:00,111,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F369","Summer","Wild Fish or Natural Production","JDB-2016-305-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-10-31,"Mark",2016-10-31 11:00:00,127,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F36C","Summer","Wild Fish or Natural Production","JDB-2016-334-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-02,"Mark",2016-11-29 08:30:00,157,1,FALSE,NA,NA,NA
"HST","Downstream Array","3DD.007786F36C","Summer","Wild Fish or Natural Production","JDB-2016-334-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-02,"Observation",2016-12-03 02:59:55,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F37F","Summer","Wild Fish or Natural Production","JDB16117.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-04,"Mark",2016-04-26 10:00:00,195,1,FALSE,NA,NA,NA
"BO1","VERTICAL SLOT DETECTORS","3DD.007786F37F","Summer","Wild Fish or Natural Production","JDB16117.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-04,"Observation",2017-08-17 14:09:41,NA,1,FALSE,NA,NA,NA
"TD2","Counting Window","3DD.007786F37F","Summer","Wild Fish or Natural Production","JDB16117.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-04,"Observation",2017-08-22 14:24:14,NA,1,FALSE,NA,NA,NA
"JDALD2",NA,"3DD.007786F37F","Summer","Wild Fish or Natural Production","JDB16117.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-04,"Passive Recapture",2017-10-23 12:32:34,NA,1,FALSE,NA,NA,NA
"MC1","COUNTING WINDOW","3DD.007786F37F","Summer","Wild Fish or Natural Production","JDB16117.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-04,"Observation",2017-10-26 17:02:57,NA,1,FALSE,NA,NA,NA
"PRV","ARRAY","3DD.007786F37F","Summer","Wild Fish or Natural Production","JDB16117.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-04,"Observation",2017-11-24 10:21:01,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F37F","Summer","Wild Fish or Natural Production","JDB16117.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-05-04,"Recapture",2018-03-14 13:00:00,550,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F389","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-21,"Mark",2015-12-18 10:00:00,151,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F38B","Summer","Wild Fish or Natural Production","JDB-2016-305-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-10-31,"Mark",2016-10-31 11:00:00,123,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F39B","Summer","Wild Fish or Natural Production","JDB-2016-305-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-10-31,"Mark",2016-10-31 11:00:00,129,1,FALSE,NA,NA,NA
"HST","Upstream Array","3DD.007786F39B","Summer","Wild Fish or Natural Production","JDB-2016-305-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-10-31,"Observation",2016-11-01 03:41:49,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F3AE","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-18,"Mark",2015-12-18 10:00:00,135,1,FALSE,NA,NA,NA
"BCC","15X15 FULL-FLOW ANTENNA","3DD.007786F3AE","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-18,"Observation",2016-05-05 19:45:31,NA,1,FALSE,NA,NA,NA
"BO2","WEIR 52","3DD.007786F3AE","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-18,"Observation",2017-08-04 13:32:39,NA,1,FALSE,NA,NA,NA
"BO4","VERTICAL SLOT DETECTORS","3DD.007786F3AE","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-18,"Observation",2017-08-05 06:01:56,NA,1,FALSE,NA,NA,NA
"TD1","Counting Window","3DD.007786F3AE","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-18,"Observation",2017-10-07 07:20:30,NA,1,FALSE,NA,NA,NA
