"tag_id","obs_site","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"3DD.00773A8213","BO1","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-04 11:31:08,"W",111,FALSE,"sockeye"
"3DD.00773A8213","BO1","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-04 11:32:51,"W",111,FALSE,"sockeye"
"3DD.00773A8213","TD2","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-05 18:07:00,"W",111,FALSE,"sockeye"
"3DD.00773A8213","GRA","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-13 16:25:35,"W",111,FALSE,"sockeye"
"3DD.00773A8213","GOA","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-12 06:15:17,"W",111,FALSE,"sockeye"
"3DD.00773A8213","ICH","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-09 15:22:40,"W",111,FALSE,"sockeye"
"3DD.00773A8213","LMA","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-11 08:37:09,"W",111,FALSE,"sockeye"
"3DD.00773A8213","TD2","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-05 18:07:01,"W",111,FALSE,"sockeye"
"3DD.00773A8213","RLCTRP","Summer","RLCTRP","Upper Salmon",2014-05-06,"Recovery",2017-08-17 06:00:00,"W",111,FALSE,"sockeye"
"3DD.00773A8213","MC1","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-08 11:35:47,"W",111,FALSE,"sockeye"
"3DD.00773A8213","LMJ","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2014-05-20 23:13:27,"W",111,FALSE,"sockeye"
"3DD.00773A8213","ICH","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-10 09:36:43,"W",111,FALSE,"sockeye"
"3DD.00773A8213","MC1","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-08 11:35:46,"W",111,FALSE,"sockeye"
"3DD.00773A8213","LMJ","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2014-05-20 23:13:28,"W",111,FALSE,"sockeye"
"3DD.00773A8213","ICH","Summer","RLCTRP","Upper Salmon",2014-05-06,"Observation",2017-07-10 09:35:55,"W",111,FALSE,"sockeye"
"3DD.00773A8213","JDALD1","Summer","RLCTRP","Upper Salmon",2014-05-06,"Passive Recapture",2017-07-06 09:49:53,"W",111,FALSE,"sockeye"
"3DD.00774E2875","RLCTRP","Summer","RLCTRP","Upper Salmon",2014-05-09,"Recovery",2017-09-07 06:00:00,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","BO4","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-03 18:21:02,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","TD2","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-05 11:28:32,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","GOA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-13 15:56:05,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","GOA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-13 15:56:06,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","GRA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-15 12:12:40,"H",NA,FALSE,"sockeye"
