"tag_id","obs_site","ant","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"3DD.007795B6B8","GRJ","DIVERSION RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-27","Observation","2017-05-14 01:58:58","H",NA,FALSE,"sockeye"
"3DD.007795B6B8","JDJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-27","Observation","2017-05-25 03:14:04","H",NA,FALSE,"sockeye"
"3DD.007795B94B","BCC","15X15 FULL-FLOW ANTENNA","Summer","RLCTRP","Upper Salmon","2017-04-21","Observation","2017-05-19 10:16:54","H",NA,FALSE,"sockeye"
"3DD.007795B94B","BCC","15X15 FULL-FLOW ANTENNA","Summer","RLCTRP","Upper Salmon","2017-04-21","Observation","2017-05-19 10:16:55","H",NA,FALSE,"sockeye"
"3DD.007795BB2C","GRJ","RACEWAY EAST","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-11 04:33:20","H",NA,TRUE,"sockeye"
"3DD.007795BB2C","GRJ","RACEWAY EAST","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-11 04:33:21","H",NA,TRUE,"sockeye"
"3DD.007795C4CF","BCC","15X15 FULL-FLOW ANTENNA","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-19 12:43:06","H",NA,FALSE,"sockeye"
"3DD.007795C5DC","MCJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-17 19:57:18","H",NA,FALSE,"sockeye"
"3DD.007795C5DC","MCJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-17 19:57:21","H",NA,FALSE,"sockeye"
"3DD.007795CB43","LMJ","B-SEPARATOR GATE","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-21 18:10:11","H",NA,FALSE,"sockeye"
"3DD.007795CB43","LMJ","B-RACEWAY","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-21 18:10:28","H",NA,TRUE,"sockeye"
"3DD.007795CD82","GRJ","RACEWAY EAST","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-11 15:23:15","H",NA,TRUE,"sockeye"
"3DD.007795CD82","GRJ","RACEWAY EAST","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-11 15:23:14","H",NA,TRUE,"sockeye"
"3DD.007795D12C","MCJ","RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-06-01 09:44:25","H",NA,FALSE,"sockeye"
"3DD.007795D12C","MCJ","RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-06-01 09:44:27","H",NA,FALSE,"sockeye"
"3DD.007795D978","MCJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-23 20:09:59","H",NA,FALSE,"sockeye"
"3DD.007795D978","MCJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-23 20:09:56","H",NA,FALSE,"sockeye"
"3DD.007795D9E0","LMJ","SAMPLE ROOM","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-06-13 14:04:20","H",NA,TRUE,"sockeye"
"3DD.007795D9E0","LMJ","SAMPLE ROOM","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-06-13 14:04:21","H",NA,TRUE,"sockeye"
"3DD.007795E3B4","LMJ","A-RACEWAY","Summer","RLCTRP","Upper Salmon","2017-04-27","Observation","2017-05-19 13:05:47","H",NA,TRUE,"sockeye"
"3DD.007795E3B4","LMJ","A-RACEWAY","Summer","RLCTRP","Upper Salmon","2017-04-27","Observation","2017-05-19 13:05:48","H",NA,TRUE,"sockeye"
"3DD.007795E45B","GRJ","RACEWAY EAST","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-13 15:10:29","H",NA,TRUE,"sockeye"
"3DD.007795E45B","GRJ","RACEWAY EAST","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-13 15:10:30","H",NA,TRUE,"sockeye"
